gene.x,gene.y,weight.AF_confidence
CHAF1B,DYRK1A,0.288
CHD1,GTF2H3,0.288
CHD1,RAD21,0.292
CHD1,SMC1A,0.286
CHD3,MTA1,0.29
CHD3,MTA2,0.29
CHD3,MTA3,0.292
CHD3,UBXN4,0.296
CHD4,CLPX,0.292
CHD4,CUX1,0.286
CHD4,HLTF,0.286
CHD4,ID2,0.3
CHD4,ID3,0.3
CHD4,MTA2,0.292
CHD4,NEFM,0.29
CHD4,PARP2,0.292
CHD4,TFCP2,0.294
CHD4,ZMYM2,0.284
CHD4,ZMYM3,0.282
CHD4,ZMYM4,0.284
CIP2A,DARS2,0.3
CIP2A,GLA,0.3
CIP2A,MRPS28,0.316
CIP2A,SARS2,0.296
CKAP2,COL18A1,0.264
CKAP2,RAE1,0.294
CKAP2,TNRC6B,0.258
CKAP4,HSPA6,0.308
CKAP5,HSD17B4,0.27
CKAP5,ITPRID2,0.272
CKAP5,MPRIP,0.272
CKAP5,PELP1,0.282
CKAP5,PYGL,0.296
CKAP5,RNF169,0.272
CKAP5,SPECC1,0.27
CKAP5,ZC3H18,0.272
CLCC1,DOCK7,0.328
CLCC1,METAP1D,0.292
CLCC1,TRIM33,0.266
CLPB,COQ8B,0.29
CLPB,GLA,0.298
CLPB,IQSEC1,0.278
CLPB,KIF14,0.282
CLPB,METTL15,0.286
CLPB,MON2,0.302
CLPB,PKP2,0.29
CLPB,PLEKHA7,0.28
CLPB,RAE1,0.292
CLPB,UGGT1,0.336
CLPB,ZYX,0.284
CLTA,P3H4,0.32
CLTA,ZMYM4,0.274
CLTB,PIK3C2A,0.336
CLTB,PRPF39,0.33
CLTB,SEC16A,0.274
CLTC,GPRASP2,0.274
CLTC,ID2,0.284
CLTC,ITPRID2,0.272
CLTC,MYO5A,0.292
CLTC,MYO5B,0.292
CLTC,MYO5C,0.294
CLTC,RUVBL1,0.28
CLTC,TOP2A,0.292
CLTC,TOP2B,0.29
CNOT1,MAP7D3,0.28
CNOT1,YME1L1,0.28
CNOT1,ZNF281,0.28
CNOT2,MAP7D3,0.254
COA7,DCAF7,0.334
COA7,ELP1,0.332
COA7,POLD1,0.358
COA7,WDR6,0.354
COL18A1,EIF4ENIF1,0.264
COL18A1,NUP35,0.264
COL18A1,NUP98,0.28
COL18A1,RBM27,0.266
COLGALT1,GEMIN4,0.308
COP1,IQSEC1,0.284
COP1,TARS2,0.31
COPS2,IDE,0.346
COPS4,NFKBIL1,0.306
COQ10B,MRPL50,0.3
COQ10B,PRRC2A,0.258
COQ10B,SARS2,0.34
COQ10B,SLC39A6,0.28
COQ8A,PRCP,0.302
COQ8B,TFB2M,0.3
CORO1B,GNAI1,0.312
CORO1B,PRRC2A,0.274
CORO1B,PYGL,0.344
CORO1C,RAI14,0.288
CORO1C,SVIL,0.278
CPSF1,MYH9,0.312
CPSF1,WWP2,0.334
CPSF2,CRTAP,0.31
CPSF2,EFTUD2,0.316
CPSF2,POLR2A,0.322
CPSF3,PRPF8,0.316
CPSF3,ZC3H18,0.288
CPSF4,NCBP1,0.358
CPSF4,USP39,0.328
CREBBP,PJA1,0.286
CREBBP,XPNPEP3,0.284
CRTAP,PRPF39,0.312
CSNK2A2,KPNA4,0.32
CSNK2A2,TBL1XR1,0.312
CTBP1,DDA1,0.336
CTBP2,FAM117B,0.29
CTBP2,FOXP4,0.286
CTBP2,TROAP,0.284
CTBP2,USP54,0.272
CTNNA1,DLG1,0.29
CTNNA1,DOCK7,0.312
CTNNA1,GNAI1,0.304
CTNNA1,RHOG,0.316
CTNNB1,ITPR1,0.302
CTNNB1,ITPR2,0.304
CTNNB1,ITPR3,0.302
CTNNB1,TOP2B,0.298
CTNNB1,TPM4,0.322
CTR9,IWS1,0.294
CTR9,MAPRE1,0.31
CTR9,OBSL1,0.282
CTR9,SIN3A,0.286
CTR9,YTHDC2,0.302
CTSA,EIF4ENIF1,0.292
CTSA,NCOA3,0.284
CTSA,UBN2,0.284
CUL2,TNRC6B,0.286
CUL2,USP7,0.3
CUX1,LMNA,0.256
CUX1,XRCC1,0.26
CYB5B,DCAF11,0.338
CYB5B,TMEM177,0.338
CYB5R3,SCRIB,0.278
DAPK1,FYN,0.312
DAPK1,IMMT,0.306
DAPK1,LRCH2,0.306
DAPK1,MTREX,0.298
DAPK1,MYO1E,0.298
DAPK1,MYO5B,0.29
DAPK1,PPP1R12A,0.298
DAPK1,PPP1R9B,0.304
DAPK1,SND1,0.304
DAPK1,WDR1,0.308
DARS2,MICU2,0.332
DARS2,PDCD11,0.288
DARS2,USP9X,0.314
DBN1,FLNA,0.272
DBN1,FLNB,0.27
DCAF1,PAIP2,0.338
DCAF1,TRIM41,0.318
DCAF1,YTHDC2,0.296
DCAF7,FARP2,0.296
DCAF7,PAF1,0.296
DCP1A,LRCH3,0.268
DCP1A,NXF1,0.27
DCP1A,TRAF2,0.262
DCP1A,ZC3H4,0.26
DCP2,MRPS9,0.274
DDA1,EVI5L,0.296
DDA1,PARD3,0.254
DDB1,YWHAH,0.346
DDI2,IPO7,0.338
DDX20,LSM4,0.302
DDX20,UPF1,0.306
DHRS7B,SMARCC2,0.274
DHX30,DOCK6,0.306
DHX30,DOCK7,0.304
DHX30,GLCCI1,0.322
DHX30,GPS1,0.32
DHX30,PATL1,0.31
DHX30,TROAP,0.312
DHX57,SUPT6H,0.302
DLG1,FMNL2,0.276
DLG1,IQGAP1,0.28
DLG1,LMO7,0.27
DLG1,MPRIP,0.272
DLG1,PALS1,0.282
DLG1,PRKAR2A,0.28
DLG1,SPTAN1,0.27
DNAAF5,NUP37,0.342
DNAAF5,VAPA,0.348
DNAJB1,FLNA,0.27
DNAJB1,FLNB,0.27
DNAJB1,ITPR3,0.332
DNAJB1,SPTAN1,0.264
DNAJC16,IQSEC1,0.28
DNAJC16,POLE,0.328
DNAJC16,ZMYM4,0.276
DNAJC21,IQGAP1,0.284
DNAJC21,ITPR3,0.322
DNAJC21,MYH10,0.294
DNAJC21,MYH14,0.294
DNAJC21,MYO5A,0.312
DNAJC21,P4HB,0.294
DNTTIP1,GIGYF1,0.254
DOCK6,EVI5L,0.318
DOCK6,FAM117B,0.33
DOCK6,MOV10,0.308
DOCK6,MYCBP,0.35
DOCK6,PRKAR1A,0.334
DOCK6,RNF169,0.324
DOCK6,RNF216,0.318
DOCK6,TRAF2,0.33
DOCK6,TROAP,0.322
DOCK7,EPB41L2,0.308
DOCK7,EVI5L,0.318
DOCK7,FAM53B,0.328
DOCK7,FARP2,0.31
DOCK7,FMNL2,0.312
DOCK7,FYN,0.318
DOCK7,IDH3G,0.32
DOCK7,MEAK7,0.318
DOCK7,MOV10,0.304
DOCK7,MRPS2,0.326
DOCK7,MRPS28,0.336
DOCK7,MTREX,0.306
DOCK7,MYCBP,0.344
DOCK7,MYO1E,0.306
DOCK7,NDE1,0.336
DOCK7,NDUFAF4,0.34
DOCK7,NME6,0.33
DOCK7,NRP1,0.308
DOCK7,NUP133,0.306
DOCK7,OAT,0.318
DOCK7,PPP2R5D,0.32
DOCK7,RNF169,0.322
DOCK7,SMOC1,0.328
DOCK7,STMN1,0.336
DOCK7,SUPT16H,0.31
DOCK7,TCF25,0.316
DOCK7,TMOD2,0.328
DOCK7,TRAF2,0.324
DOCK7,TRIM41,0.318
DOCK7,TSC1,0.31
DOCK7,TWF1,0.33
DOCK7,VAMP3,0.346
DOCK7,WDR1,0.31
DPF2,IMMT,0.266
DPH6,PRPF3,0.28
DPH6,TTC19,0.312
DSG2,EPB41L2,0.272
DSG2,FYN,0.276
DSG2,KIAA1671,0.27
DSG2,MYO1E,0.296
DSG2,PALM2AKAP2,0.278
DSG2,SPTBN1,0.27
DSG2,SPTBN2,0.268
DYNLT1,MAP7D3,0.25
ECHS1,KPNA6,0.324
ECPAS,GNG4,0.318
ECPAS,NUCB2,0.304
EDC3,FARP2,0.292
EDC3,SKIV2L,0.324
EDC4,FAM53B,0.282
EDC4,PATL1,0.28
EDC4,RNF169,0.28
EDC4,TRAF7,0.28
EDC4,TTC37,0.3
EFTUD2,PRPF4,0.328
EIF2B4,NUP85,0.31
EIF3G,GALK1,0.326
EIF3G,NKTR,0.262
EIF3G,SRPRA,0.294
EIF3G,STAG2,0.328
EIF4E2,GEMIN4,0.342
EIF4E2,LSM6,0.326
EIF4E2,POLR2A,0.338
EIF4E2,WDR33,0.28
EIF4ENIF1,GXYLT1,0.278
EIF4ENIF1,MICU2,0.276
EIF4ENIF1,MRPL45,0.264
EIF4ENIF1,MRPL46,0.266
EIF4ENIF1,PRRC2A,0.26
EIF4ENIF1,SLC39A10,0.268
EIF4ENIF1,TNRC6B,0.262
ELAVL2,PPM1G,0.302
ELAVL2,WDTC1,0.33
ELF1,RADX,0.316
ELP1,FBXW11,0.324
ELP1,PFDN5,0.34
EP300,LZTS2,0.286
EP300,PJA1,0.286
EP300,RNF169,0.286
EPB41L2,MYO1B,0.292
EPB41L2,OAT,0.286
EPB41L2,PPP1R12A,0.274
EPB41L2,PPP1R9A,0.272
EPB41L2,PRPF8,0.306
EPS15L1,RHOT2,0.294
EPS15L1,SLC27A2,0.298
ERCC3,IRF2BPL,0.302
ERCC3,ODF2,0.302
ERCC3,RAD21,0.306
ERCC3,RAE1,0.316
ERCC3,XRCC5,0.298
ERMP1,SLC25A13,0.332
ERMP1,TRABD,0.346
EVI5L,RAD54L2,0.294
EVI5L,RB1,0.302
EVI5L,RNF169,0.278
EVI5L,WDR61,0.286
EXOC1,SNRNP200,0.328
EXOSC2,PAF1,0.282
FAM117A,MYCBP,0.25
FAM117A,UBR5,0.31
FAM117B,MYCBP,0.248
FAM117B,UBR5,0.31
FAM53B,RB1,0.316
FAM53B,RNF216,0.264
FAM53C,UBR5,0.312
FANCD2,HEATR3,0.32
FANCI,GNG4,0.366
FARP2,FNTA,0.294
FARP2,RNF216,0.286
FARS2,FUCA2,0.324
FARS2,SIL1,0.298
FARS2,TARS2,0.322
FARS2,ZC3H7A,0.286
FASTKD2,OPA1,0.292
FASTKD2,SLC39A10,0.294
FASTKD2,VAMP3,0.338
FBXO3,TOP2B,0.306
FBXO3,XPC,0.284
FBXO45,UBN2,0.266
FBXW11,POLE,0.332
FBXW11,WDR6,0.336
FHL3,TCAF1,0.36
FKBP5,SSBP3,0.312
FLII,LMNB2,0.294
FLII,NEXN,0.296
FLII,VARS1,0.308
FLNA,FLOT2,0.27
FLNA,IMMT,0.27
FLNA,LACTB,0.278
FLNA,LMNB2,0.272
FLNA,MAPRE1,0.272
FLNA,NDE1,0.272
FLNA,NEFM,0.27
FLNA,NEXN,0.272
FLNA,PAF1,0.272
FLNA,PALM2AKAP2,0.272
FLNA,PPP1R9B,0.272
FLNA,RACGAP1,0.272
FLNA,TMOD2,0.27
FLNB,LACTB,0.28
FLNB,LIMA1,0.27
FLNB,NDE1,0.27
FLNB,NEXN,0.27
FLNB,PPP1R9B,0.27
FLNB,SARS1,0.28
FLNB,TPM1,0.27
FLOT1,P4HB,0.302
FLOT1,PRPF8,0.328
FLOT2,MPRIP,0.258
FLOT2,MYO5B,0.314
FLOT2,PCM1,0.258
FMNL2,LRRFIP2,0.28
FMNL2,MYO5B,0.3
FMNL2,SCRIB,0.276
FMNL2,SPECC1,0.276
FMNL2,TNPO1,0.302
FNTA,LRCH1,0.282
FNTA,RNF169,0.288
FNTA,UBR5,0.308
FNTB,LRCH3,0.296
FOXJ3,MOGS,0.328
FOXK1,NCOR1,0.262
FOXK1,PHF23,0.262
FOXK1,TBL1XR1,0.29
FOXP4,UBN2,0.258
FUCA2,NDUFAF4,0.35
FUCA2,SMOC1,0.32
FYN,PLEKHG3,0.276
GABARAP,OAT,0.36
GABARAP,PGD,0.366
GABARAPL2,PRPF6,0.316
GABARAPL2,PRPF8,0.324
GAK,IRF2BP1,0.276
GAK,ZMYM4,0.272
GCN1,IST1,0.308
GCN1,LMNA,0.3
GCN1,LMNB2,0.302
GCN1,NEFM,0.3
GCN1,SND1,0.294
GCN1,TNFAIP8,0.306
GEMIN4,LSM4,0.348
GEMIN4,LSM6,0.354
GEMIN4,PRPF6,0.312
GEMIN4,SNRPA,0.338
GGA3,OTUD4,0.266
GIGYF1,VRK3,0.278
GIGYF2,SIPA1L1,0.288
GIGYF2,ZNF318,0.264
GLB1,MIDEAS,0.3
GLB1,RMND5A,0.338
GLCCI1,OTUD4,0.268
GLCCI1,YTHDC2,0.318
GNAI1,ITPR2,0.324
GNG4,NUCB1,0.314
GNG4,RAP1GAP,0.316
GNG4,XPO7,0.366
GPRASP2,NCOR1,0.262
GPS1,TLN1,0.304
GPS2,HCFC1,0.282
GPS2,HIRA,0.288
GPS2,HSPA6,0.33
GPSM1,RABGGTB,0.302
GPSM1,RAP1GAP,0.284
GPSM1,RIC8A,0.3
GPX8,SLC25A13,0.294
GRAMD1A,SIPA1L1,0.292
GRAMD1A,ZNF318,0.262
GRAMD4,LEMD2,0.28
GRAMD4,TOP2A,0.314
GSN,LMO7,0.27
GSN,MYH14,0.29
GSN,MYO5B,0.304
GSN,SIPA1L3,0.29
GSN,SPTAN1,0.27
GSN,SPTBN1,0.268
GSN,SPTBN2,0.27
GTF2H1,OBSL1,0.274
GTF2H5,TBL1XR1,0.338
GTPBP3,XRN1,0.318
GTSE1,PPP2R5D,0.292
GTSE1,QRICH1,0.276
GTSE1,USP15,0.282
GXYLT1,IDH3A,0.312
GXYLT1,MICU1,0.306
GXYLT1,PDSS1,0.308
HDAC2,HSPA6,0.318
HDAC3,HSPA6,0.316
HDAC3,P3H1,0.3
HEATR3,NAP1L4,0.328
HEATR3,NPEPPS,0.328
HEATR3,NUP160,0.328
HEXIM2,MDC1,0.262
HINT1,PRRC2A,0.256
HINT1,RACGAP1,0.29
HIP1,IGF2R,0.3
HIRA,MAGED2,0.282
HIRA,MED20,0.292
HIRA,NBN,0.278
HIRA,POLB,0.284
HIRA,POLR1E,0.286
HIRA,RAD50,0.278
HIRA,TFCP2,0.286
HIRA,WDR26,0.28
HIRA,XPC,0.276
HIRA,ZNRD2,0.292
HLA-C,METTL15,0.306
HLA-C,ZYX,0.284
HM13,MMS19,0.328
HSD17B4,ITPR2,0.308
HSD17B4,MEAK7,0.3
HSD17B4,MYO18A,0.304
HSD17B4,RBM15,0.274
HSD17B4,SPTBN1,0.272
HSPA6,NUP155,0.316
HSPA6,PPM1B,0.31
HYOU1,ZCCHC9,0.33
HYPK,NAA10,0.318
HYPK,PDCD11,0.284
ID1,LIG3,0.302
ID2,LIG3,0.304
ID2,TTF2,0.304
ID3,WDR26,0.328
IDE,MRPS5,0.348
IDE,TRIM68,0.342
IDE,UBR1,0.33
IDH3A,OPA1,0.302
IDH3A,PARL,0.314
IDH3A,SAE1,0.322
IDH3A,SLC39A10,0.286
IDH3A,TRIM33,0.278
IDH3G,MRPL3,0.318
IDH3G,PPIC,0.33
IFIT5,P3H1,0.304
IFIT5,WDTC1,0.318
IFT172,KIF7,0.278
IFT27,USP9X,0.334
IFT57,IFT81,0.264
IGF2R,LONP1,0.296
IMMT,METTL15,0.282
IMMT,MRPS9,0.27
IMMT,SIL1,0.278
INTS14,SMC3,0.276
IPO4,NAA15,0.32
IPO7,LMX1B,0.34
IPO7,PEX19,0.344
IPO7,REEP5,0.346
IPO9,PEX19,0.34
IQGAP1,MYO1C,0.286
IQGAP1,MYO5C,0.294
IQGAP1,NRXN2,0.282
IQGAP1,PPP1R9A,0.276
IQGAP1,ZC3H18,0.284
IQSEC1,PDCD11,0.276
IQSEC1,PPM1B,0.284
IQSEC1,WDR11,0.326
IRAK1,NUP153,0.272
IRF2BP1,SCRIB,0.28
IRF2BP1,STX8,0.27
IRF2BP1,TNRC6B,0.26
IRF2BP1,TTC26,0.3
IRF2BPL,NCOR1,0.264
IRF2BPL,NCOR2,0.264
IRF2BPL,PIK3C2A,0.316
IRF2BPL,TNRC6A,0.262
IRF2BPL,TNRC6B,0.262
ITPR1,LRRFIP2,0.318
ITPR2,LRCH2,0.314
ITPR2,MAPRE1,0.332
ITPR2,PGD,0.314
ITPR2,SARS1,0.314
ITPR2,TMOD2,0.32
ITPR2,TOM1,0.324
ITPR2,TPM1,0.332
ITPR2,TPM4,0.332
ITPR3,MAPRE1,0.334
ITPR3,NDE1,0.332
ITPR3,NEXN,0.316
ITPR3,OLA1,0.326
ITPR3,P4HB,0.32
ITPR3,SARS1,0.314
ITPRID2,MYO5B,0.296
ITPRID2,NRXN2,0.29
ITPRID2,NUMA1,0.266
ITPRID2,TWF1,0.26
IWS1,RBM15,0.266
JPH1,RNGTT,0.282
KCTD21,TCF20,0.26
KEAP1,PRPF8,0.31
KIAA1671,MPRIP,0.26
KIAA1671,MYO6,0.288
KIAA1671,NUP153,0.262
KIAA1671,RBM27,0.26
KIF14,KIF21A,0.274
KIF14,POM121C,0.276
KIF14,RBM27,0.29
KIF21A,NUP98,0.282
KIF21A,PLOD3,0.294
KIF21A,RBM27,0.274
KIF7,TRAF3,0.29
KIF7,VAPA,0.296
KIF7,ZMYM2,0.282
KLHL7,LOC100421372,0.3
KLHL7,MED24,0.332
KLHL7,SAMD1,0.29
KPNA1,PKP2,0.294
LACTB,NUMA1,0.276
LAP3,SPTBN1,0.282
LEMD2,NCOR1,0.262
LEMD2,NCOR2,0.264
LEMD2,RAD50,0.284
LEMD2,RFX1,0.284
LIG3,MYH10,0.288
LIG3,RAE1,0.296
LIG3,SAP30,0.306
LIMA1,MYH14,0.29
LIMA1,SPTAN1,0.268
LMNA,MYH10,0.292
LMNB2,MYH10,0.292
LMNB2,SIPA1L3,0.294
LMO7,OLA1,0.274
LMX1B,PMPCA,0.318
LOC100421372,MED4,0.274
LONP1,NDUFAF3,0.296
LONP1,POLR2A,0.318
LONP1,TNRC6B,0.276
LRCH1,PAIP2,0.282
LRCH2,LRCH3,0.276
LRCH2,MYO5B,0.304
LRCH2,OTUD4,0.268
LRCH2,SPTAN1,0.27
LRCH2,XRN1,0.312
LRRFIP2,MYO6,0.318
LRRFIP2,PCM1,0.26
LSM1,RAD54L2,0.308
LSM1,TROAP,0.258
LSM2,PRPF6,0.32
LSM4,NCBP1,0.372
LSM4,PKP4,0.296
LSM4,PRPF6,0.316
LSM4,PRPF8,0.334
LSM6,RBM12,0.254
LZTS2,SIPA1L1,0.292
MAGED2,TBL1XR1,0.294
MAIP1,SLC25A19,0.316
MAP7D3,SIPA1L3,0.292
MAP7D3,SPTBN1,0.268
MAPRE1,NDE1,0.264
MAPRE1,PPP1R9A,0.254
MAPRE1,RAI14,0.268
MAPRE1,TJP1,0.276
MBD2,VAPB,0.272
MCM10,SPECC1L,0.268
MDC1,MED26,0.264
MDC1,MED29,0.262
MDC1,RFX1,0.27
MDC1,SAMD1,0.264
MEAK7,SIPA1L3,0.296
MED14,UBN2,0.286
MED15,PHF21A,0.256
MED15,TOP2A,0.306
MED15,UBN2,0.26
MED16,RRBP1,0.3
MED17,MED23,0.344
MED17,MED4,0.306
MED1,MED26,0.28
MED1,RAD50,0.274
MED23,RRBP1,0.32
MED24,TOP2A,0.3
METAP1D,MRPL3,0.316
METAP1D,MRPS18A,0.332
METAP1D,VARS2,0.35
MIDEAS,XRCC1,0.262
MKLN1,SMAD4,0.302
MKLN1,YPEL5,0.328
MMS19,MYO6,0.296
MMS19,SSBP2,0.332
MMS19,TBC1D15,0.312
MMS19,XPO5,0.318
MOGS,PHKA1,0.32
MON2,TNPO2,0.302
MOV10,NDUFAB1,0.348
MOV10,NXF1,0.322
MOV10,PLOD3,0.316
MOV10,PRPF8,0.298
MOV10,TIMM9,0.362
MOV10,WRNIP1,0.316
MPRIP,MYO18A,0.302
MPRIP,NEFM,0.26
MPRIP,PRPF8,0.314
MPRIP,PRRC2A,0.26
MRE11,RBL1,0.294
MRE11,YTHDC2,0.31
MRPL3,MRPL45,0.308
MRPL3,NRP1,0.296
MRPL45,NUP205,0.352
MRPL45,PRRC2A,0.262
MRPL46,MRPL50,0.31
MRPL46,NRP1,0.298
MRPL4,OCRL,0.294
MRPL55,PDSS1,0.332
MRPL55,STMN1,0.278
MRPL55,VARS2,0.366
MRPS18A,SIL1,0.31
MRPS18A,ZC3H7A,0.28
MRPS23,MRPS9,0.28
MRPS23,NME6,0.31
MRPS23,OPA1,0.31
MRPS28,TRIM33,0.264
MRPS2,PRCP,0.33
MRPS9,NCOR2,0.26
MRPS9,NME6,0.282
MRPS9,PPIC,0.288
MRPS9,SIL1,0.298
MRPS9,SIN3A,0.288
MRPS9,TSC1,0.282
MRPS9,TTC37,0.324
MRPS9,ZC3H18,0.258
MRTFA,NCOA2,0.262
MRTFB,NCOA2,0.262
MSI2,P3H1,0.304
MSI2,TLN1,0.312
MSI2,XRN1,0.326
MTMR1,TCAF1,0.332
MTR,PPM1B,0.302
MTR,RDH14,0.31
MTREX,RBM15,0.304
MTX2,STIM1,0.278
MTX2,ZC3H7A,0.276
MYCBP,XRN1,0.332
MYH10,MYO1D,0.284
MYH10,NEFM,0.29
MYH10,PALS1,0.292
MYH10,RHOG,0.296
MYH10,TOP2A,0.29
MYH14,PALS1,0.29
MYH14,POC1A,0.296
MYH9,PPP1R9B,0.29
MYH9,WDR61,0.294
MYH9,WWP2,0.29
MYO18A,PALS1,0.306
MYO18A,PELP1,0.3
MYO1B,PRRC2A,0.282
MYO1B,SPTBN1,0.284
MYO1B,SPTBN2,0.282
MYO1C,MYO5C,0.298
MYO1C,PLEKHG3,0.288
MYO1C,SPTBN1,0.284
MYO1C,SPTBN2,0.284
MYO1D,MYO1E,0.29
MYO1E,MYO5B,0.292
MYO1E,OAT,0.306
MYO1E,SCRIB,0.288
MYO1E,SIPA1L3,0.288
MYO1E,TJP1,0.288
MYO5A,POC1A,0.314
MYO5A,SARS1,0.306
MYO5A,TBL1X,0.308
MYO5B,NOL10,0.306
MYO5B,NRXN2,0.29
MYO5B,PPP1R9A,0.298
MYO5B,PPP1R9B,0.304
MYO5C,PKP2,0.306
MYO5C,RAI14,0.302
MYO5C,TJP1,0.294
MYO5C,TWF1,0.316
MYO6,NRXN2,0.292
MYO6,PLEKHG3,0.3
NBN,RAD50,0.274
NCBP1,RNPC3,0.336
NCBP2,PPM1G,0.314
NCKIPSD,ZC2HC1A,0.3
NCOA2,VRK3,0.274
NCOR1,XRCC1,0.262
NCOR2,PRPF31,0.266
NCOR2,SAMD1,0.26
NCOR2,XRCC1,0.262
NDE1,PDCD11,0.284
NDE1,SPTBN2,0.266
NDUFA10,PRCP,0.326
NDUFAB1,PRPF3,0.274
NDUFAF4,PRCP,0.348
NDUFAF4,PRRC2A,0.254
NDUFAF4,TRIM33,0.268
NDUFAF4,USO1,0.326
NEFL,SEC16A,0.272
NEFM,PPP1R9B,0.258
NEFM,RAI14,0.264
NEFM,SVIL,0.278
NEXN,SPTBN2,0.266
NFKBIL1,RBM15,0.266
NIPSNAP2,VARS2,0.352
NME3,RHOT2,0.334
NME6,STMN1,0.32
NOL10,PALM2AKAP2,0.292
NOL10,PDCD11,0.278
NOL10,PYGL,0.328
NOL10,RAI14,0.276
NPEPPS,NUP107,0.318
NRP1,PPIC,0.3
NUMA1,RACGAP1,0.266
NUP133,NUP98,0.282
NUP133,TMEM201,0.292
NUP153,TMEM201,0.258
NUP153,TNRC6B,0.266
NUP155,PRKAA1,0.324
NUP155,TMED1,0.342
NUP155,UBAP2L,0.306
NUP155,YWHAG,0.332
NUP35,SUN2,0.268
NUP37,XPO5,0.35
NUP43,TBC1D15,0.294
NUP50,WDR61,0.3
NUP98,RBM27,0.286
NXF1,RB1,0.31
NXF1,SMC1A,0.274
NXF1,SRP19,0.272
NXF1,USP54,0.272
NXF1,ZC3H4,0.26
OAT,PLEKHG3,0.282
OAT,PRPF8,0.318
OAT,PRRC2A,0.276
OAT,SND1,0.292
OAT,SPTAN1,0.276
OAT,XPO5,0.338
OBSL1,SUPT16H,0.276
OBSL1,YWHAG,0.272
OCLN,POMGNT2,0.312
OCLN,WDR11,0.346
OCRL,RBM15,0.28
OCRL,STMN1,0.304
OCRL,ZMYM2,0.276
OGDH,PALM2AKAP2,0.344
OGDH,PRPF8,0.3
OGT,RBBP4,0.334
OGT,WWP2,0.314
OPA1,SMOC1,0.3
OSBPL8,SMAD2,0.292
OTUD4,PARD3,0.268
OTUD4,RBL1,0.288
OTUD4,SIPA1L1,0.288
OTUD4,TROAP,0.268
OTUD4,ZC3H18,0.268
P3H1,PIK3C2A,0.316
P3H1,TBL1XR1,0.298
P3H1,TIMM8B,0.314
P4HB,PALM2AKAP2,0.308
PAF1,PPP1R9B,0.264
PAF1,YWHAG,0.288
PAIP2,PATL1,0.292
PALM2AKAP2,PRPF8,0.33
PALM2AKAP2,PRRC2A,0.256
PALM2AKAP2,SARS1,0.32
PALM2AKAP2,SVIL,0.278
PALS1,PPP1R12A,0.278
PALS1,RAI14,0.278
PALS1,SPTAN1,0.274
PARL,SLC39A10,0.276
PARL,STMN1,0.32
PARL,YME1L1,0.292
PARP2,PPP1R9B,0.29
PARP2,XRCC5,0.294
PAWR,SPECC1L,0.256
PAXIP1,SBF1,0.292
PCM1,PPP1R9A,0.264
PCM1,SPECC1,0.26
PCM1,SPECC1L,0.262
PCM1,TMOD1,0.26
PDCD11,PPP1R9A,0.278
PDCD11,PPP1R9B,0.278
PDCD11,RACGAP1,0.278
PDCD11,TRMT6,0.28
PDS5B,TBL1XR1,0.326
PDSS2,VARS2,0.346
PELP1,PRPF6,0.286
PFKP,PLEKHG3,0.304
PGD,PRPF8,0.318
PGD,SPTBN2,0.278
PGRMC2,PPM1B,0.328
PHF23,SAP30L,0.258
PIGT,TMEM177,0.328
PIK3C2A,QRICH1,0.314
PISD,ZYX,0.288
PJA1,SKIV2L,0.318
PKP2,SPTBN1,0.278
PKP2,SPTBN2,0.28
PKP4,PLOD3,0.302
PKP4,POLD1,0.31
PKP4,RBM12,0.282
PKP4,RBM15,0.282
PLBD2,SPIN1,0.34
PLEKHG3,PPP1R12A,0.268
PLOD3,SUPT16H,0.31
PMPCA,SSBP2,0.326
PMPCA,SSBP3,0.322
PNKP,WDR26,0.294
POLE,SGPL1,0.332
POLR2A,RNF20,0.316
POLR2A,RNF40,0.318
POLR2A,SCAF4,0.314
POLR2A,YWHAG,0.338
POLR2A,ZC3H18,0.318
POMGNT2,WDR11,0.344
PPFIA1,SGO1,0.27
PPIC,STIM1,0.268
PPIC,STMN1,0.322
PPM1B,RAB18,0.328
PPM1B,YME1L1,0.286
PPM1G,SART3,0.294
PPP1R12A,RACGAP1,0.266
PPP1R12A,WDR1,0.3
PPP1R9A,PRRC2A,0.264
PPP1R9A,PYGL,0.31
PPP1R9A,SCRIB,0.278
PPP1R9A,SPTAN1,0.268
PPP1R9A,SPTBN1,0.266
PPP1R9A,SPTBN2,0.268
PPP1R9A,VARS1,0.31
PPP1R9B,RACGAP1,0.266
PPP1R9B,TOP2A,0.3
PPP1R9B,XRCC1,0.26
PPP1R9B,YPEL5,0.256
PRCP,SIL1,0.314
PRKAR2A,SUPT16H,0.29
PRKCI,TSC1,0.274
PRPF6,RNPC3,0.3
PRPF8,RAI14,0.314
PRPF8,RNPC3,0.32
PRPF8,SNRNP70,0.316
PRPF8,YWHAG,0.328
PRRC2A,RAI14,0.266
PRRC2A,SLC39A6,0.266
PRRC2A,SMOC1,0.258
PRRC2A,STIM1,0.264
PRRC2A,VAMP3,0.252
PRRC2A,ZC3H7A,0.268
PSMB5,SRPRA,0.3
PSMB5,ZNF410,0.282
PYCR3,TOP2A,0.312
RAB18,SRPRA,0.304
RACGAP1,SVIL,0.278
RAD50,UBN1,0.274
RAD54L2,RNF216,0.294
RADX,SLTM,0.302
RAE1,SAMD1,0.3
RAE1,WDR6,0.346
RAI14,SCRIB,0.278
RAI14,SIPA1L3,0.29
